*{"timestamp": "09:01:56", "x": 153.07, "y": 315.82}
*{"timestamp": "09:06:49", "x": 156.77, "y": 314.74}
*{"timestamp": "09:12:32", "x": 161.0, "y": 313.74}
*{"timestamp": "09:18:36", "x": 165.4, "y": 312.57}
*{"timestamp": "09:24:47", "x": 169.89, "y": 311.15}
*{"timestamp": "09:30:32", "x": 174.7, "y": 309.49}
*{"timestamp": "09:36:02", "x": 178.41, "y": 308.48}
*{"timestamp": "09:41:58", "x": 182.75, "y": 306.69}
*{"timestamp": "09:47:59", "x": 187.16, "y": 304.91}
*{"timestamp": "09:53:42", "x": 191.47, "y": 303.15}
*{"timestamp": "09:59:10", "x": 195.59, "y": 301.43}
*{"timestamp": "10:05:14", "x": 200.23, "y": 299.26}
*{"timestamp": "10:12:15", "x": 205.64, "y": 296.85}
*{"timestamp": "10:19:17", "x": 210.97, "y": 294.07}
*{"timestamp": "10:25:05", "x": 215.25, "y": 291.82}
*{"timestamp": "10:31:08", "x": 220.06, "y": 289.26}
*{"timestamp": "10:37:29", "x": 224.82, "y": 286.6}
*{"timestamp": "10:44:32", "x": 230.13, "y": 283.69}
*{"timestamp": "10:51:33", "x": 235.36, "y": 280.48}
