timestamp,helio_stats_id,camera_use,id,currentX,currentY,err_posx,err_posy,x,y,x1,y1,ls1,st_path,move_comp,elevation,azimuth,control_by
30/10/24 13:12:32,h1,rtsp://username:password@camera_ip:port/stream,h1,12,14,13,44,1,1,1,1,1,34.4,333,13.2,34.5,human
30/10/24 13:14:24,h1,rtsp://username:password@camera_ip:port/stream,h1,12,14,13,44,1,1,1,1,1,34.4,333,13.2,34.5,human
30/10/24 13:15:00,h1,rtsp://username:password@camera_ip:port/stream,h1,12,14,13,44,1,1,1,1,1,34.4,333,13.2,34.5,human
31/10/24 08:10:02,h1,rtsp://username:password@camera_ip:port/stream,h1,12,14,13,44,1,1,1,1,1,34.4,333,13.2,34.5,human
31/10/24 14:24:00,h1,rtsp://username:password@camera_ip:port/stream,h1,12,14,13,44,1,1,1,1,1,34.4,333,13.2,34.5,human
31/10/24 14:24:18,h1,rtsp://username:password@camera_ip:port/stream,h1,12,14,13,44,1,1,1,1,1,34.4,333,13.2,34.5,machine
08/11/24 11:24:13,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,113.41,16.65,6.54,200.0,0,0,0,0,0,0,0,113.41,16.65,machine
08/11/24 11:26:30,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,113.41,16.65,6.54,200.0,0,0,0,0,0,0,0,113.41,16.65,machine
08/11/24 11:28:43,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,113.41,16.65,6.54,200.0,0,0,0,0,0,0,0,113.41,16.65,machine
08/11/24 11:29:59,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,113.41,15.08,1.57,200.0,0,0,0,0,0,0,0,113.41,15.08,machine
08/11/24 11:50:48,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,126.17,28.14,0.31,100.0,0,0,0,0,0,0,0,126.17,28.14,machine
08/11/24 11:52:25,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,127.74,27.26,0.88,100.0,0,0,0,0,0,0,0,127.74,27.26,machine
08/11/24 11:58:39,h2,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,130.39,58.99,2.65,100.0,0,0,0,0,0,0,0,130.39,23.31,machine
08/11/24 12:02:28,h2,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,130.39,58.99,2.65,100.0,0,0,0,0,0,0,0,130.39,23.31,machine
12/11/24 14:16:59,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,665.69,18.09,0.27,100.0,0,0,0,0,0,0,0,665.69,18.09,machine
19/11/24 10:34:36,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:35:04,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:41:24,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:42:18,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:42:25,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:42:36,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:42:47,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:45:18,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:45:20,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:46:03,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:46:05,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:46:17,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:46:49,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:48:17,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 10:48:19,h1,camera-bottom,0,75.61,0.0,5.5,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 11:17:32,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,22.12,4.06,3.47,600.0,0,0,0,0,0,0,0,0.0,0.0,machine
19/11/24 11:19:34,h1,camera-bottom,0,32.12,14.06,3.47,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 11:21:10,h1,camera-bottom,0,22.12,0.0,3.47,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 11:22:52,h1,camera-bottom,0,140.0,168.53,3.47,600.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 11:25:36,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,143.3,166.58,0.99,600.0,0,0,0,0,0,0,0,0.0,0.0,machine
19/11/24 12:38:02,h1,camera-bottom,0,125.87,28.23,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 13:07:52,h1,camera-bottom,0,25.27,339.2,0.0,0.0,1,0,0,0,0,0,0,0.0,0.0,human
19/11/24 13:08:05,h1,camera-bottom,0,59.08,339.2,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,human
19/11/24 13:15:20,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,355.11,157.47,0.91,600.0,0,0,0,0,0,0,0,0.0,0.0,machine
19/11/24 13:19:02,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,1.31,0.85,1.31,600.0,0,0,0,0,0,0,0,0.0,0.0,machine
19/11/24 13:23:37,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,3.38,2.54,0.81,600.0,0,0,0,0,0,0,0,0.0,0.0,machine
19/11/24 13:25:28,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,4.6,1.57,0.78,600.0,0,0,0,0,0,0,0,0.0,0.0,machine
19/11/24 13:29:03,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,5.76,0.96,0.96,600.0,0,0,0,0,0,0,0,0.0,0.0,machine
19/11/24 13:30:06,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,6.36,2.88,1.59,600.0,0,0,0,0,0,0,0,0.0,0.0,machine
19/11/24 13:32:39,h1,rtsp://admin:Nu12131213@192.168.1.170:554/Streaming/Channels/101/,0,6.2,0.82,1.31,600.0,0,0,0,0,0,0,0,0.0,0.0,machine
